DAY,DELAY
58589.95232,-318.8948107
58665.67719,-354.9901993
58693.77866,-183.0105258
58730.73873,119.1591426
58761.3962,359.6668912
58782.37667,481.8240975
58813.35467,559.6781784
58832.30955,537.3540374
58853.12352,453.2901812
58881.19616,261.683125
58908.9752,26.20854761
58921.03699,-76.37051537
58939.01766,-216.4252025
58952.24412,-302.7873159
58966.04392,-372.7716644
58983.82884,-426.8383401
58991.87133,-436.8791039
59005.85482,-432.1877988
59018.86533,-403.0254916
59031.84578,-351.7123753
59046.86612,-267.7898061
59060.74375,-171.31102
59073.72019,-69.32340135
59088.73355,56.49027637
59102.67181,174.0048284
59119.5951,308.0190668
59134.68173,410.7120569
59144.63695,466.2190974
59156.38467,516.2509577
59167.31405,546.0081871
59183.56514,557.7965224
59193.48769,545.402641
59207.27134,504.201537
59220.21426,441.9164574
59233.20779,359.8576791
59246.33558,261.3326625
59264.02116,113.3143451
59277.05652,0.522784205
59291.0288,-116.546798
59306.02148,-230.0994154
59318.8656,-312.1540656
59331.90014,-376.6397556
59344.93849,-419.6269587
59358.02857,-438.8134329
59374.9962,-427.3763802
59406.77853,-301.9304498
59416.64697,-239.607492
59430.68819,-137.0796549
59447.65698,1.322624872
59460.5694,110.7335176
59483.68258,297.6963245
59501.57777,419.0561563
59509.38245,462.0437631
59523.38271,520.5095944
59540.52113,555.110728
59543.32004,556.6959438
59552.22328,553.6937267
59578.3031,477.4620024
59591.28019,405.7944017
59608.07512,287.4037337
59619.08162,198.5139455
59638.13385,34.97339369
59650.25549,-68.5976333
59652.2575,-85.23056551
59656.12242,-116.849752
59663.1519,-172.1652683
59677.15445,-271.3613533
59691.00842,-350.4312032
59703.97658,-403.6472417
59717.02496,-434.3274783
59729.73828,-441.0135181
59745.70634,-416.7531298
59760.72181,-362.4702205
59773.6638,-293.8678093
59785.84185,-213.9563021
59800.54338,-102.3119992
59814.59548,13.88156306
59827.71679,125.0894032
59849.63334,301.3060764
59864.63273,404.0560273
59882.32144,495.7028056
59895.51051,537.9069256
59914.38986,554.4152489
59943.21932,477.4659016
59957.33134,399.2163258
59969.08954,318.0120844
59990.04569,148.7695179
60010.19644,-25.14014081
60031.05958,-193.7432813
60055.95875,-350.4281996
60069.92409,-407.2729031
60083.88588,-437.9794738
60098.02103,-440.571271
60111.70801,-416.1924844
60122.94825,-377.0908127
60139.62938,-290.9989934
60154.78838,-188.6732714
60167.71935,-88.26280555
60183.74982,45.5667432
60199.54826,178.6577836
